"","Mail","Gifts","CnGf_1_Amount","TestGroup1","Gender","St","Type","Class","Left","Middle","Right","Largest","Last","LGDate","FY13","FY14","Class1","FY1314","log13","log14","logLast","newdate","TG","TestGroup1B","TestGroup1C","TestGroup1D","Baselinell"
"136",0,0,0,"A",2,0,0,1962,150,100,50,46,30,370,30,0,53,0,3.43398720448515,0,3.43398720448515,16323,"A",0,0,0,-0.407968238326283
"137",0,0,0,"A",1,1,1,1990,150,100,50,61,50,184,25,50,25,1250,3.25809653802148,3.93182563272433,3.93182563272433,16509,"A",0,0,0,-0.407968238326283
"138",1,1,100,"B",2,1,1,1983,300,200,100,9,100,405,100,100,32,10000,4.61512051684126,4.61512051684126,4.61512051684126,16288,"B",1,0,0,-1.09362474715707
"139",0,0,0,"B",2,0,1,1992,600,400,200,34,200,432,200,0,23,0,5.30330490805908,0,5.30330490805908,16261,"B",1,0,0,-0.407968238326283
"140",0,1,25,"A",2,1,1,1994,150,100,50,61,25,474,50,25,21,1250,3.93182563272433,3.25809653802148,3.25809653802148,16219,"A",0,0,0,-1.09362474715707
"141",1,1,125,"C",2,0,0,1955,225,200,150,22,150,345,150,300,60,45000,5.01727983681492,5.70711026474888,5.01727983681492,16348,"C",0,1,0,-1.09362474715707
"142",0,0,0,"C",2,0,0,1954,100,75,50,46,30,66,30,0,61,0,3.43398720448515,0,3.43398720448515,16627,"C",0,1,0,-0.407968238326283
"143",1,1,50,"C",1,1,0,1968,125,100,75,75,25,154,75,25,47,1875,4.33073334028633,3.25809653802148,3.25809653802148,16539,"C",0,1,0,-1.09362474715707
"144",0,0,0,"C",2,1,1,1979,150,125,100,9,100,193,0,100,36,0,0,4.61512051684126,4.61512051684126,16500,"C",0,1,0,-0.407968238326283
"145",0,0,0,"C",2,1,1,1979,100,75,50,61,50,202,50,50,36,2500,3.93182563272433,3.93182563272433,3.93182563272433,16491,"C",0,1,0,-0.407968238326283
"146",0,0,0,"B",2,1,1,1993,300,200,100,9,100,387,0,0,22,0,0,0,4.61512051684126,16306,"B",1,0,0,-0.407968238326283
"147",0,0,0,"A",1,1,1,1996,150,100,50,46,25,65,0,0,19,0,0,0,3.25809653802148,16628,"A",0,0,0,-0.407968238326283
"148",0,0,0,"D",1,0,1,1998,100,75,50,65,25,106,25,25,17,625,3.25809653802148,3.25809653802148,3.25809653802148,16587,"D",0,0,1,-0.407968238326283
"149",0,0,0,"C",2,0,1,1989,75,50,25,39,20,372,20,0,26,0,3.04452243772342,0,3.04452243772342,16321,"C",0,1,0,-0.407968238326283
"150",1,1,200,"B",1,0,1,1986,600,400,200,34,200,433,0,200,29,0,0,5.30330490805908,5.30330490805908,16260,"B",1,0,0,-1.09362474715707
"151",0,0,0,"C",2,0,1,1987,75,50,25,39,25,259,0,25,28,0,0,3.25809653802148,3.25809653802148,16434,"C",0,1,0,-0.407968238326283
"152",0,0,0,"B",2,0,0,1951,125,75,50,55,40,75,40,0,64,0,3.71357206670431,0,3.71357206670431,16618,"B",1,0,0,-0.407968238326283
"153",0,0,0,"B",2,1,0,1954,150,100,50,61,25,55,25,25,61,625,3.25809653802148,3.25809653802148,3.25809653802148,16638,"B",1,0,0,-0.407968238326283
"154",0,0,0,"C",2,1,0,1952,100,75,50,61,50,21,0,50,63,0,0,3.93182563272433,3.93182563272433,16672,"C",0,1,0,-0.407968238326283
"155",1,1,100,"C",2,0,0,1956,150,125,100,9,100,461,100,100,59,10000,4.61512051684126,4.61512051684126,4.61512051684126,16232,"C",0,1,0,-1.09362474715707
"156",0,0,0,"B",2,1,0,1953,300,200,100,9,100,241,100,100,62,10000,4.61512051684126,4.61512051684126,4.61512051684126,16452,"B",1,0,0,-0.407968238326283
"157",0,0,0,"C",2,1,0,1981,1500,1000,500,6,300,353,0,0,34,0,0,0,5.70711026474888,16340,"C",0,1,0,-0.407968238326283
"158",1,1,100,"C",2,0,0,1958,450,375,300,47,100,508,100,0,57,0,4.61512051684126,0,4.61512051684126,16185,"C",0,1,0,-1.09362474715707
"159",1,1,100,"C",2,1,0,1963,150,125,100,9,100,197,50,100,52,5000,3.93182563272433,4.61512051684126,4.61512051684126,16496,"C",0,1,0,-1.09362474715707
"160",0,0,0,"B",2,1,0,1967,150,100,50,61,50,466,25,50,48,1250,3.25809653802148,3.93182563272433,3.93182563272433,16227,"B",1,0,0,-0.407968238326283
"161",1,1,300,"C",2,0,1,1973,150,125,100,9,100,135,100,100,42,10000,4.61512051684126,4.61512051684126,4.61512051684126,16558,"C",0,1,0,-1.09362474715707
"162",0,0,0,"C",2,0,1,1976,100,75,50,55,30,3,30,0,39,0,3.43398720448515,0,3.43398720448515,16690,"C",0,1,0,-0.407968238326283
"163",0,1,150,"A",2,0,0,1970,450,300,150,22,150,468,150,150,45,22500,5.01727983681492,5.01727983681492,5.01727983681492,16225,"A",0,0,0,-1.09362474715707
"164",0,0,0,"B",2,0,0,1973,300,200,100,9,100,303,100,0,42,0,4.61512051684126,0,4.61512051684126,16390,"B",1,0,0,-0.407968238326283
"165",0,0,0,"A",2,1,1,1974,600,400,200,34,50,1,50,0,41,0,3.93182563272433,0,3.93182563272433,16692,"A",0,0,0,-0.407968238326283
"166",0,0,0,"A",2,1,0,1992,300,200,100,9,100,62,0,100,23,0,0,4.61512051684126,4.61512051684126,16631,"A",0,0,0,-0.407968238326283
"167",0,0,0,"D",2,1,1,1980,150,100,50,9,100,493,0,0,35,0,0,0,4.61512051684126,16200,"D",0,0,1,-0.407968238326283
"168",0,0,0,"C",1,0,1,1996,125,100,75,70,50,182,95,50,19,4750,4.56434819146784,3.93182563272433,3.93182563272433,16511,"C",0,1,0,-0.407968238326283
"169",0,0,0,"C",1,1,0,1991,150,125,100,83,96.7,64,0,96.7,24,0,0,4.58190155904874,4.58190155904874,16629,"C",0,1,0,-0.407968238326283
"170",0,0,0,"A",1,0,0,2000,375,250,125,16,100,135,125,100,15,12500,4.83628190695148,4.61512051684126,4.61512051684126,16558,"A",0,0,0,-0.407968238326283
"171",0,1,50,"B",2,1,0,1950,150,100,50,61,50,49,50,0,65,0,3.93182563272433,0,3.93182563272433,16644,"B",1,0,0,-1.09362474715707
"172",0,0,0,"B",2,0,0,1950,300,200,100,9,100,432,100,0,65,0,4.61512051684126,0,4.61512051684126,16261,"B",1,0,0,-0.407968238326283
"173",1,1,150,"D",2,1,0,1962,800,500,250,62,150,433,100,150,53,15000,4.61512051684126,5.01727983681492,5.01727983681492,16260,"D",0,0,1,-1.09362474715707
"174",1,1,25,"C",2,1,0,1961,125,100,75,75,40,401,85,40,54,3400,4.45434729625351,3.71357206670431,3.71357206670431,16292,"C",0,1,0,-1.09362474715707
"175",1,1,100,"B",1,1,1,1967,600,400,200,34,200,70,100,200,48,20000,4.61512051684126,5.30330490805908,5.30330490805908,16623,"B",1,0,0,-1.09362474715707
"176",1,1,100,"A",2,1,0,1979,900,600,325,49,315,433,315,315,36,99225,5.75574221358691,5.75574221358691,5.75574221358691,16260,"A",0,0,0,-1.09362474715707
"177",0,1,300,"A",2,1,0,1974,900,600,300,47,300,135,300,300,41,90000,5.70711026474888,5.70711026474888,5.70711026474888,16558,"A",0,0,0,-1.09362474715707
"178",0,1,25,"B",2,0,0,1969,75,50,25,39,20,156,20,20,46,400,3.04452243772342,3.04452243772342,3.04452243772342,16537,"B",1,0,0,-1.09362474715707
